Time	1	2	3	4	5	6	7
0	0.299654813	0.303808776	0.052776456	0.559731296	0.061073973	0.691826557	0.207871094
10	0.085008902	0.150262754	0.821182061	0.906190963	0.003392767	0.800074894	0.848456936
20	0.104518502	0.939016379	0.779601868	0.88142037	0.435892759	0.365386888	0.709481803
30	0.191656479	0.129311768	0.258444965	0.741544035	0.002165591	0.538337244	0.375361944
40	0.249826263	0.407534624	0.48681906	0.51318094	0.067685172	0.006048294	0.478086749
50	0.14885754	0.839644451	0.696171483	0.818029023	0.010536141	0.562731763	0.139918663
60	0.046139278	0.571384442	0.905370105	0.951509382	0.319736754	0.603022525	0.638836331
70	0.211031285	0.923938434	0.967404951	0.302595049	0.423949	0.266398697	0.6542049
80	0.052475389	0.825446153	0.003087201	0.044562591	0.379665098	0.862380373	0.325720106
90	0.315486832	0.602884171	0.026115555	0.161602056	0.273753718	0.55780082	0.130845647
100	0.044616311	0.79032602	0.908576462	0.953192773	0.014745462	0.827814966	0.134850993
110	0.550873651	0.608213576	0.670664433	0.329334467	0.346205705	0.653790336	0.77320361
120	0.550976387	0.655962701	0.670363179	0.329636821	0.436343998	0.997268965	0.358444208
130	0.241059912	0.965554948	0.405447964	0.594442036	0.336370827	0.177301628	0.815141603
140	0.214263831	0.417663185	0.689040126	0.310959874	0.072858555	0.019919711	0.350751043
150	0.185203772	0.164307309	0.59634726	0.754441032	0.004435787	0.909367721	0.173885188
160	0.237728651	0.495974083	0.610776155	0.389553878	0.155004809	0.990442535	0.455220195
170	0.249994557	0.510634153	0.497597245	0.502402744	0.488174533	0.041885425	0.820546287
180	0.556314304	0.307280834	0.563901579	0.346098421	0.062703653	0.123403381	0.411686572
190	0.236544643	0.388410517	0.615997558	0.384002772	0.058596671	0.410359865	0.580159441
200	0.203941533	0.939392938	0.285387635	0.714612365	0.154103089	0.574028271	0.584919025
0	0.184272723	0.689629146	0.059353961	0.243626684	0.309813444	0.244968992	0.748418652
10	0.194498982	0.074498448	0.73448654	0.26441346	0.000413468	0.576971084	0.772589739
20	0.053277777	0.815858292	0.003188433	0.05646621	0.290739393	0.74498516	0.607167387
30	0.245289682	0.649389866	0.568651423	0.431348577	0.155310511	0.751240209	0.371914248
40	0.209032095	0.302749614	0.702405298	0.297594702	0.060581266	0.966102927	0.155406683
50	0.249312187	0.578072433	0.473773806	0.526556194	0.294773796	0.357582879	0.472864223
60	0.554452337	0.977074479	0.596836362	0.340163638	0.431218664	0.316014497	0.203321116
70	0.18934398	0.271191709	0.746284429	0.253714471	0.019944779	0.163062564	0.285837892
80	0.118123928	0.590514258	0.01872862	0.316852548	0.358201661	0.052612663	0.926956354
90	0.310133449	0.203395294	0.023649109	0.153782668	0.008414391	0.304404426	0.232862557
100	0.248853865	0.049561916	0.466145378	0.533854655	0.000121743	0.357177793	0.526280418
110	0.06032629	0.771336098	0.875189163	0.934415453	0.499838208	0.359434774	0.226281784
120	0.246516595	0.635984952	0.440979655	0.449020378	0.064336593	0.05565108	0.821730048
130	0.118490373	0.023341589	0.018867066	0.317357439	1.27172E-05	0.58648252	0.493453989
140	0.104412796	0.454480996	0.014028283	0.118441051	0.093874402	0.404366714	0.676561649
150	0.121023931	0.450861375	0.019843685	0.140867617	0.091649287	0.768237029	0.053780661
160	0.075296356	0.508796063	0.006755967	0.081992053	0.307975248	0.167498475	0.44089644
170	0.181325786	0.971287455	0.580731867	0.762057653	0.078121571	0.645252528	0.951324956
180	0.124410243	0.080144807	0.727320817	0.85283106	0.000514997	0.509142924	0.089981824
190	0.249528704	0.644379631	0.521709363	0.478290637	0.368153543	0.083983665	0.440846697
200	0.317342029	0.805711706	0.968303574	0.835645603	0.084619273	0.446055947	0.104198085
0	0.057534058	0.636275555	0.881175347	0.938709405	0.249415905	0.694296438	0.10243098
10	0.115402978	0.844303931	0.017755354	0.313125331	0.484198809	0.356154021	0.027277526
20	0.047797279	0.075878751	0.002533152	0.050330431	0.000436878	0.946921637	0.018521758
30	0.077994944	0.57266351	0.836739954	0.914734909	0.353447586	0.481849802	0.457680299
40	0.555550444	0.948679984	0.342585114	0.567414886	0.042749968	0.222778294	0.316086987
50	0.008151245	0.885463394	0.983629962	0.991781207	0.401281636	0.436103639	0.464501831
60	0.044809758	0.318408898	0.908196538	0.952979296	0.03558164	0.106408088	0.666094549
70	0.248980121	0.811279332	0.468064451	0.531934449	0.064498197	0.266392299	0.109044453
80	0.19488212	0.187262076	0.265558025	0.734771975	0.006566735	0.803683832	0.481420228
90	0.119863341	0.989495989	0.019392096	0.31924441	0.498815796	0.540356762	0.554655572
100	0.199574425	0.48576455	0.724446397	0.275443603	0.114624266	0.045647029	0.530913634
110	0.219219488	0.326644407	0.675443758	0.324446242	0.034852189	0.245499826	0.672634471
120	0.214426303	0.103735129	0.311390094	0.688609906	0.001116291	0.925004616	0.717352328
130	0.18111386	0.085844289	0.581347833	0.762461963	0.000632851	0.579097009	0.836067122
140	0.008809376	0.379515368	7.90033E-05	0.008888379	0.054662325	0.04384907	0.584974179
150	0.097230267	0.155572602	0.011912044	0.109142312	0.001841536	0.441850649	0.949766143
160	0.150774801	0.766240926	0.664554415	0.815000316	0.251258265	0.539432298	0.570832831
170	0.209180932	0.889771879	0.297962706	0.702037294	0.400875964	0.623513319	0.89339788
180	0.079151742	0.476728703	0.834186205	0.913337947	0.108346244	0.433995693	0.026142542
190	0.157426619	0.859796634	0.646832155	0.804258741	0.021558928	0.361720936	0.034665068
200	0.01624351	0.094652051	0.967240192	0.983483702	0.000847989	0.674207132	0.904639114
0	0.127470113	0.424445805	0.055487194	0.149957307	0.076465712	0.056330093	0.674494743
10	0.249927909	0.303815068	0.491509331	0.508490696	0.028043553	0.564299428	0.470598497
20	0.214710571	0.610859377	0.687854809	0.312145191	0.143436044	0.82698679	0.267454523
30	0.237164539	0.623184042	0.613293965	0.386706305	0.106288882	0.626303703	0.344794077
40	0.128536199	0.628878872	0.055947559	0.151483428	0.193199592	0.198337252	0.206284018
50	0.290924352	0.593366685	0.610279574	0.781203926	0.417650557	0.642114261	0.64625287
60	0.243146035	0.687171857	0.417211355	0.582788678	0.029055371	0.935766484	0.192372581
70	0.245925879	0.389581619	0.436171159	0.563828841	0.059128297	0.526215006	0.099996041
80	0.082658174	0.846812159	0.008267473	0.090925648	0.313359624	0.613607001	0.959963578
90	0.205794313	0.320177829	0.710251485	0.289748515	0.032855659	0.001513982	0.170426135
100	0.315534827	0.06883299	0.71093448	0.843196307	0.000326129	0.347628235	0.92342321
110	0.117064004	0.529950471	0.747539884	0.864603889	0.070940094	0.392518863	0.669215635
120	0.249314173	0.815351311	0.473811965	0.526188305	0.455144828	0.779704417	0.943794936
130	0.104043205	0.381759621	0.777999718	0.882042923	0.044636623	0.845574849	0.255099629
140	0.019052484	0.147140298	0.961517507	0.980596991	0.003185627	0.17602055	0.966433736
150	0.219672726	0.711487877	0.681734075	0.318265925	0.117814701	0.942242033	0.219316158
160	0.219860761	0.305970208	0.673606564	0.326393436	0.062085121	0.501638683	0.647332989
170	0.551202775	0.207346686	0.330302547	0.696967453	0.008914383	0.11196657	0.440327054
180	0.166144963	0.327398846	0.623402386	0.789448349	0.035093884	0.172633247	0.862482904
190	0.249319779	0.606559676	0.47391896	0.52608104	0.25807453	0.273310742	0.843315292
200	0.242705838	0.963636868	0.414594133	0.585405867	0.012173521	0.243995494	0.84988334
0	0.165946819	0.608013612	0.416034879	0.914218944	0.603069012	0.185547488	0.489940501
10	0.526400941	0.695298642	0.36280963	0.336191699	0.85714541	0.747985858	0.033279893
20	0.650614906	0.206656951	0.369423265	0.475823371	0.350902776	0.004897883	0.712988661
30	0.244637372	0.721936101	0.946459309	0.206281972	0.940222973	0.021849695	0.327474109
40	0.977111894	0.303951156	0.36182438	0.427382636	0.929058026	0.072098875	0.086972989
50	0.220593236	0.900215231	0.323774147	0.982948902	0.376068644	0.420869846	0.473079348
60	0.266943373	0.565755164	0.796642156	0.216276313	0.012501914	0.533127996	0.461940192
70	0.966292317	0.111346218	0.759891981	0.430577379	0.255288177	0.585715077	0.077365043
80	0.384171423	0.02042969	0.544576643	0.990390553	0.282298479	0.924744636	0.776254262
90	0.497689663	0.153013017	0.568988533	0.939316774	0.953479806	0.288045671	0.791627599
100	0.438572852	0.041961153	0.544331605	0.943562815	0.467589188	0.346538499	0.738600626
110	0.283803199	0.258856205	0.705811193	0.505241182	0.223703655	0.491963769	0.777691882
120	0.512424238	0.211242838	0.627753371	0.559214289	0.001452375	0.971118693	0.195436947
130	0.393797606	0.055058245	0.863550604	0.989183889	0.529988924	0.147205385	0.749286111
140	0.958949449	0.85679459	0.992498983	0.370927196	0.590520062	0.437262695	0.688730536
150	0.914864914	0.482410453	0.562242274	0.935398945	0.717833607	0.842411816	0.130046908
160	0.648994734	0.888901344	0.31423813	0.091344785	0.183324742	0.296523451	0.091494356
170	0.304408469	0.98256856	0.139937948	0.560046373	0.054814375	0.922453144	0.492406832
180	0.264172657	0.030311325	0.146768204	0.040896852	0.530366663	0.076558085	0.004148207
190	0.385893123	0.667505562	0.9459016	0.890992629	0.994462238	0.425986183	0.668774654
200	0.958198161	0.055951415	0.448392779	0.678134887	0.421999498	0.196361701	0.692129456
