Time	1	2	3	4	5	6	7	8	9	10
0	0.165285385	0.146554753	0.79283667	0.876763576	0.24829358	0.920381194	0.077549361	0.704072523	0.265903196	0.573209063
10	0.222092371	0.222441248	0.500442506	0.823841356	0.367239022	0.080702565	0.770845345	0.235634738	0.820773651	0.342566773
20	0.115552586	0.141939773	0.265159432	0.513619532	0.300462769	0.699085451	0.651786213	0.030030681	0.325844838	0.413293016
30	0.673387166	0.97352533	0.350654047	0.842238477	0.09559572	0.669875879	0.668615812	0.088776328	0.981976604	0.887125138
40	0.180040719	0.58958193	0.573769286	0.193054525	0.361222944	0.16649938	0.719259515	0.81590579	0.465119867	0.839344966
50	0.143485434	0.345689082	0.337271644	0.358126835	0.539565112	0.488929271	0.936474826	0.557479663	0.445734519	0.867079968
60	0.466042377	0.473116254	0.645725052	0.097296211	0.813099627	0.605016929	0.141421996	0.519898613	0.073991175	0.277467328
70	0.444219406	0.368561744	0.211492737	0.061071599	0.752087317	0.103613799	0.524452843	0.533821543	0.613166854	0.815482521
80	0.675909878	0.951035163	0.592143057	0.104759972	0.66391109	0.789155086	0.839508892	0.146857901	0.230125401	0.106168097
90	0.06330782	0.285276776	0.776116352	0.019440979	0.655742476	0.875532657	0.453959967	0.631821495	0.052807921	0.535268494
100	0.592927438	0.215857103	0.506355978	0.315578129	0.456464199	0.26928108	0.756360549	0.894509309	0.20551158	0.399364642
110	0.524172344	0.470945439	0.343541468	0.991864588	0.510279201	0.493302513	0.516605553	0.219564129	0.61068291	0.73550787
120	0.711286553	0.882613834	0.267678245	0.521165164	0.890257018	0.007945478	0.717355419	0.73577458	0.832547156	0.995190038
130	0.632237161	0.323406306	0.131482185	0.184901661	0.484472519	0.458657659	0.852811203	0.850502528	0.796249542	0.538063276
140	0.234802929	0.071270334	0.373743643	0.547455755	0.838666333	0.096464309	0.577672014	0.89817676	0.942271495	0.932067576
150	0.637317244	0.300116351	0.388431659	0.761822289	0.878803091	0.273312917	0.700940309	0.379652147	0.676234019	0.986236763
160	0.088664172	0.707499129	0.841608175	0.216390923	0.321242598	0.003625687	0.70047498	0.975629191	0.099507618	0.582747551
170	0.064563035	0.40190748	0.095650697	0.687156774	0.287144746	0.829233634	0.322124139	0.392882382	0.368662835	0.084304218
180	0.770940293	0.216279491	0.83610573	0.764170815	0.865093677	0.468709852	0.272843394	0.236417075	0.494357004	0.975113943
190	0.819987633	0.773252037	0.141630041	0.820272679	0.085781368	0.118631133	0.586879347	0.006924538	0.169012763	0.751776022
200	0.974016627	0.249342668	0.898486382	0.071394172	0.049977999	0.814975318	0.180387433	0.117682098	0.883984329	0.542554219
0	0.911773843	0.936892926	0.122352004	0.957200105	0.580935333	0.776121499	0.277076197	0.856606574	0.465394311	0.671897941
10	0.850123893	0.396488892	0.121455324	0.304219497	0.421161163	0.053860087	0.420271324	0.64824852	0.8022567	0.057946579
20	0.341738826	0.831736899	0.301538583	0.976288091	0.65344503	0.793375887	0.252227401	0.023015314	0.33871884	0.067710997
30	0.229013604	0.128341123	0.744629756	0.994331347	0.12847441	0.66001003	0.025868802	0.230670416	0.874730944	0.612024494
40	0.421004652	0.411875315	0.607130867	0.716272254	0.154171089	0.890283063	0.337701515	0.035859335	0.052962654	0.877778762
50	0.357190235	0.241089021	0.401221989	0.718003187	0.565481638	0.759444074	0.990666079	0.375604571	0.176187688	0.451325671
60	0.267858001	0.266259179	0.165905626	0.95156283	0.495635942	0.557811685	0.272484196	0.066486493	0.483663668	0.711917456
70	0.967637762	0.796715854	0.293333364	0.416491884	0.028552682	0.041749792	0.040438839	0.934658083	0.557182395	0.782130261
80	0.848324357	0.259452808	0.647760979	0.81775067	0.657565562	0.109169614	0.62560036	0.485127075	0.448282246	0.745044661
90	0.020875981	0.605789575	0.518458175	0.725593455	0.391699022	0.094109621	0.85758542	0.004370323	0.998787585	0.068002144
100	0.169309838	0.829459304	0.665184168	0.794843363	0.022969615	0.474940823	0.169790421	0.497817651	0.115293515	0.111825146
110	0.352114062	0.671315763	0.128375797	0.87922484	0.90755637	0.84930354	0.186358974	0.196241707	0.704422953	0.181732072
120	0.836905201	0.573837975	0.923747131	0.058373845	0.895841975	0.335262913	0.781918152	0.202054944	0.379899846	0.84054804
130	0.95648077	0.055699037	0.092381361	0.405302422	0.40767293	0.153777084	0.928548548	0.187044023	0.281730204	0.225170411
140	0.483441556	0.081721367	0.966108553	0.998665038	0.418605387	0.040596463	0.06343558	0.948879002	0.386461421	0.798826517
150	0.589326915	0.91655611	0.366562001	0.851105148	0.2354919	0.353122317	0.237423479	0.855718096	0.020142487	0.658269312
160	0.508020455	0.552123577	0.695553647	0.993988808	0.279577695	0.601150462	0.384297076	0.260561676	0.332413264	0.609748321
170	0.50861894	0.681865981	0.328309293	0.782409701	0.162177497	0.020044373	0.771315893	0.735223019	0.122909357	0.057457127
180	0.499008346	0.659081326	0.588037716	0.297246086	0.818278121	0.037713967	0.727886886	0.815522372	0.516287779	0.769404691
190	0.905794756	0.754502363	0.670181898	0.96565907	0.819282177	0.363706194	0.744555105	0.689978066	0.678249342	0.493054017
200	0.87862706	0.360941544	0.944469199	0.640421708	0.083484148	0.872620064	0.664921587	0.149520101	0.885877981	0.479649427
0	0.644291704	0.407997523	0.215261582	0.697707174	0.873263264	0.252673593	0.240920262	0.818789292	0.696933351	0.247288139
10	0.73489733	0.50822866	0.661183213	0.306069897	0.951326912	0.419856612	0.684977932	0.871868263	0.608903448	0.238117096
20	0.519867135	0.902032459	0.468499668	0.848010914	0.69787099	0.761185909	0.651717679	0.135233186	0.642730936	0.277622772
30	0.503060073	0.134223528	0.465395498	0.908929068	0.216169102	0.751486257	0.748647072	0.303891154	0.847355534	0.472134464
40	0.643867123	0.656759762	0.939541776	0.277303007	0.890494372	0.348619151	0.007554132	0.287702562	0.384571815	0.595222361
50	0.786946965	0.519870231	0.547131825	0.302383901	0.357107578	0.9017518	0.656687613	0.57947166	0.240618145	0.870914374
60	0.946044188	0.135420301	0.207642688	0.979646804	0.632260351	0.931183929	0.475935629	0.300961413	0.770063875	0.408648695
70	0.681148794	0.013585796	0.216724137	0.04553867	0.012413569	0.494327736	0.876042975	0.045989833	0.526589228	0.858917608
80	0.897543087	0.494798123	0.020894204	0.744201018	0.42468854	0.667563867	0.180313952	0.921896521	0.83371476	0.942117039
90	0.746639179	0.636717933	0.89498919	0.688407039	0.938025814	0.570218271	0.138288688	0.195016954	0.418190491	0.514999725
100	0.025039977	0.212790894	0.658862748	0.431535076	0.037796602	0.529684163	0.176182503	0.608468442	0.876627432	0.1107099
110	0.813594186	0.152467599	0.152041356	0.141532125	0.456111323	0.377055732	0.346197317	0.205148825	0.448516451	0.347608463
120	0.195354867	0.25864982	0.906271811	0.940374228	0.335439066	0.635350894	0.129747673	0.284312625	0.583283439	0.271295834
130	0.751677595	0.535948757	0.91709142	0.698650331	0.082050168	0.84737037	0.445361761	0.832629189	0.558839176	0.221461801
140	0.471562076	0.105794867	0.680667277	0.10212093	0.267273421	0.05085509	0.318168288	0.432739723	0.752715657	0.352043493
150	0.147898841	0.871910495	0.344094932	0.846846945	0.156113474	0.012924368	0.276002553	0.660475674	0.714390595	0.660253979
160	0.808974815	0.171982339	0.689558689	0.157764778	0.709428289	0.130593289	0.800083865	0.279603729	0.853654079	0.851539764
170	0.605320073	0.696533947	0.159889936	0.525101612	0.228747178	0.027563356	0.863181497	0.531066151	0.032621467	0.366088223
180	0.408963418	0.208669356	0.821476593	0.962970162	0.247845844	0.334499023	0.425162109	0.969977107	0.008349421	0.158894875
190	0.019338351	0.321719347	0.13770163	0.510117383	0.292765243	0.939649919	0.959964701	0.885650775	0.9216466	0.672756199
200	0.961141354	0.586645446	0.114734741	0.236076248	0.493335179	0.185562174	0.159388791	0.823015754	0.500379831	0.363210528
0	0.175993846	0.455161629	0.218898149	0.946053937	0.933123339	0.849239751	0.889867161	0.272430135	0.768866559	0.385334536
10	0.865942105	0.311188701	0.169228277	0.536785077	0.700457663	0.480955999	0.184273067	0.720183747	0.956697123	0.518885674
20	0.537405641	0.239118161	0.564494911	0.914758064	0.952531761	0.446470583	0.015134632	0.256779359	0.609164543	0.165459285
30	0.992650452	0.366671931	0.434930918	0.83189833	0.002359713	0.65371472	0.132788937	0.614175494	0.226420702	0.363333455
40	0.999533183	0.62429627	0.173755999	0.17508938	0.54114959	0.499139426	0.920698111	0.215459005	0.46619148	0.72866557
50	0.012833746	0.688397935	0.391945794	0.558743516	0.769871641	0.204423264	0.583732076	0.954783569	0.44274139	0.92913128
60	0.276299474	0.107976775	0.415880491	0.394816131	0.321626712	0.142272373	0.368104469	0.199523151	0.591676935	0.142747952
70	0.570598656	0.739822339	0.200004527	0.980953298	0.674990949	0.798129695	0.472333494	0.150823223	0.123972044	0.921307644
80	0.786707935	0.048759468	0.387577175	0.657322626	0.299274084	0.381855593	0.402654377	0.942057252	0.548242652	0.743384438
90	0.964103144	0.576600709	0.679435845	0.5120957	0.053379822	0.017998356	0.73954008	0.966478767	0.270210616	0.007778237
100	0.515527116	0.697776185	0.542427534	0.028613335	0.285815524	0.125799063	0.761407808	0.068350525	0.991459889	0.211048083
110	0.467590233	0.907087735	0.322117399	0.915411626	0.234655034	0.796777385	0.756920887	0.640972134	0.590308984	0.332005815
120	0.283198765	0.836948947	0.139712437	0.729256667	0.268801457	0.790720862	0.10818594	0.924705378	0.48576711	0.527521539
130	0.601523586	0.675135539	0.264896473	0.398887923	0.203804459	0.66213185	0.762474119	0.718196699	0.871616466	0.741724148
140	0.877913341	0.065250411	0.048949029	0.265444314	0.34674145	0.052991353	0.661139085	0.596276421	0.351184861	0.493178456
150	0.558188656	0.609821573	0.963929794	0.740998982	0.132589233	0.610693889	0.205044008	0.248088079	0.923748002	0.654475178
160	0.515410249	0.891676229	0.374594247	0.574427369	0.159200429	0.7469978	0.546821657	0.010905612	0.960836702	0.053970119
170	0.346378467	0.166586048	0.888599601	0.801866209	0.754376564	0.873238443	0.723992378	0.636720821	0.12203491	0.664287476
180	0.114622392	0.149640869	0.326553389	0.429970031	0.734349205	0.560312792	0.29897451	0.615392463	0.047237914	0.085608588
190	0.947787379	0.197189617	0.971685375	0.827188269	0.526690959	0.342831874	0.702195031	0.340556272	0.976446352	0.975464384
200	0.400806733	0.98874569	0.816063918	0.50339371	0.755114926	0.88203634	0.842250191	0.49018598	0.748826351	0.798508042
